,magnitude,depth
0,2.94,5.0
1,2.83,11.0
2,2.73,1.0
3,5.0,10.0
4,2.51,15.0
5,2.5,142.5
6,2.88,5.0
7,2.45,12.0
8,2.52,9.0
9,3.26,5.0
10,2.61,14.0
11,2.91,13.0
12,2.68,32.32
13,2.74,3.0
14,2.53,12.0
15,3.92,29.0
16,3.11,9.0
17,3.1,10.0
18,4.1,10.0
19,2.6,5.0
20,2.7,7.0
21,3.1,10.0
22,3.37,12.0
23,4.5,10.0
24,4.5,10.0
25,2.59,12.0
26,4.9,35.0
27,4.7,10.0
28,4.6,10.0
29,2.47,12.0
30,4.2,73.43
31,5.2,98.47
32,2.89,5.0
33,3.6,5.0
34,2.74,6.0
35,2.69,11.0
36,2.64,9.0
37,3.2,51.5
38,2.47,8.0
39,5.3,597.46
40,4.4,182.29
41,3.0,25.6
42,2.5,14.0
43,2.5,9.4
44,4.5,10.0
45,2.61,6.0
46,2.52,8.0
47,5.9,99.1
48,2.67,11.0
49,4.8,11.37
50,5.8,10.0
51,2.49,13.0
52,3.22,11.0
53,4.7,10.0
54,3.55,65.0
55,2.45,11.0
56,2.8,36.5
57,2.59,16.0
58,3.02,1.660904169
59,2.93,11.0
60,2.52,10.0
61,2.9,10.0
62,3.1,5.5
63,2.6,6.0
64,4.3,195.82
65,4.2,20.5
66,4.5,25.55
67,2.5,115.7
68,2.5,12.0
69,2.79,12.0
70,4.4,176.93
71,2.72,6.0
72,2.74,4.0
73,2.9,9.0
74,2.94,12.0
75,4.9,162.85
76,2.54,16.0
77,2.5,43.1
78,5.0,10.0
79,2.53,20.84
80,4.3,86.84
81,3.5,79.0
82,2.8,4.38
83,4.5,10.0
84,3.14,11.0
85,2.89,2.0
86,2.85,6.0
87,4.3,194.4
88,2.82,13.0
89,3.0,5.0
90,4.9,57.55
91,3.1,35.58
92,3.13,5.0
93,4.3,10.0
94,3.39,7.0
95,2.8,4.14
96,4.5,10.0
97,3.2,5.0
98,3.7,5.19
99,3.0,22.2
100,2.59,8.95
101,2.71,20.0
102,2.7,4.32
103,3.9,12.3
104,2.69,13.0
105,5.2,590.64
106,3.45,51.0
107,2.53,5.0
108,3.32,12.0
109,3.0,10.0
110,2.63,12.0
111,2.92,5.0
112,2.5,13.0
113,3.5,5.0
114,5.6,10.0
115,3.1,17.61
116,2.79,5.0
117,4.5,10.0
118,2.83,9.0
119,2.77,13.0
120,3.77,32.0
121,2.51,12.0
122,2.7,5.0
123,4.3,74.22
124,2.55,-0.94
125,2.5,5.38
126,2.78,6.0
127,5.3,10.0
128,2.5,0.0
129,4.5,108.36
130,4.1,484.98
131,2.6,12.04
132,2.53,14.0
133,4.5,35.0
134,4.4,228.65
135,2.55,11.45
136,4.6,10.0
137,4.7,35.0
138,2.95,14.0
139,4.4,10.0
140,2.78,7.06
141,2.7,6.0
142,4.3,30.65
143,5.7,38.0
144,2.97,23.87
145,4.7,10.0
146,5.3,67.8
147,2.5,40.2
148,3.22,6.0
149,2.74,11.0
150,3.1,6.38
151,3.0,5.0
152,2.78,14.0
153,3.36,6.0
154,2.49,2.78
155,2.95,5.6
156,3.0,5.0
157,3.25,5.61
158,6.1,59.0
159,5.0,6.64
160,2.93,13.0
161,2.6,10.0
162,2.57,3.99
163,2.79,5.0
164,2.68,7.0
165,2.69,7.0
166,2.55,14.0
167,2.96,3.0
168,2.86,9.0
169,3.0,15.0
170,3.8,8.41
171,3.04,6.66
172,2.49,11.0
173,4.4,10.0
174,4.6,10.0
175,4.7,146.83
176,4.8,46.22
177,5.0,10.0
178,4.8,73.45
179,2.55,9.0
180,2.61,16.0
181,5.1,10.0
182,5.4,105.11
183,2.78,12.0
184,4.4,10.0
185,4.6,10.0
186,5.0,10.0
187,4.6,10.0
188,3.08,11.0
189,3.21,4.0
190,2.83,12.0
191,3.01,10.0
192,4.4,35.0
193,3.16,5.85
194,2.77,11.0
195,2.65,6.06
196,2.86,14.0
197,3.0,124.4
198,3.15,12.0
199,2.61,12.0
200,2.94,13.0
201,4.6,10.0
202,3.46,12.0
203,4.2,41.87
204,4.5,186.73
205,5.0,188.01
206,4.0,10.0
207,2.92,10.0
208,3.08,13.0
209,3.09,12.0
210,2.5,79.7
211,3.4,14.0
212,2.89,10.35
213,5.1,34.85
214,2.88,6.0
215,2.7,66.6
216,4.3,10.0
217,2.52,14.0
218,3.22,14.0
219,2.85,11.0
220,2.83,11.0
221,2.7,20.8
222,2.5,9.7
223,4.06,2.15
224,2.8,12.0
225,4.5,48.75
226,2.53,32.29
227,2.82,11.0
228,2.7,6.0
229,4.3,10.0
230,3.27,10.0
231,4.8,144.67
232,3.3,31.1
233,2.9,8.0
234,4.5,10.0
235,2.48,14.0
236,5.1,10.0
237,2.71,2.0
238,3.3,11.1
239,4.6,22.06
240,4.8,21.18
241,2.56,14.0
242,2.85,1.81
243,3.16,15.0
244,2.98,5.0
245,2.5,9.0
246,7.5,56.65
247,4.4,201.84
248,4.7,127.15
249,2.49,12.0
250,2.74,12.0
251,4.7,133.59
252,2.97,15.0
253,2.62,14.0
254,3.1,7.0
255,2.93,11.0
256,3.3,5.0
257,4.2,229.44
258,3.5,68.5
259,2.82,10.0
260,3.2,10.0
261,4.9,35.0
262,2.58,12.0
263,3.07,6.0
264,4.8,35.0
265,2.45,14.0
266,3.09,11.0
267,2.91,13.0
268,2.63,6.22
269,2.86,13.0
270,3.2,30.77
271,2.57,5.9
272,3.59,6.0
273,2.72,5.88
274,2.78,7.0
275,4.0,5.86
276,2.98,2.49
277,4.9,10.0
278,2.8,10.0
279,2.97,14.0
280,3.04,7.0
281,4.6,142.32
282,4.5,10.0
283,4.8,10.0
284,2.95,7.0
285,2.82,6.51
286,4.2,150.95
287,2.48,2.78
288,2.88,14.0
289,3.08,9.13
290,3.24,9.0
291,4.3,232.22
292,3.2,10.0
293,4.0,3.3
294,3.3,10.0
295,2.74,12.0
296,3.06,10.0
297,4.9,10.0
298,4.8,10.0
299,2.7,10.0
300,5.0,10.0
301,4.4,444.83
302,2.82,14.0
303,2.63,10.0
304,3.1,77.7
305,4.6,82.33
306,3.08,9.0
307,3.85,137.0
308,2.57,9.0
309,2.67,12.0
310,4.3,10.0
311,2.79,11.63
312,4.4,34.8
313,2.8,5.0
314,4.2,10.0
315,4.9,76.32
316,3.0,0.0
317,2.84,1.83
318,4.6,7.09
319,2.92,12.0
320,2.8,108.13
321,2.7,10.0
322,5.3,497.59
323,2.51,11.0
324,4.8,10.0
325,2.71,9.0
326,2.96,8.0
327,2.53,35.31
328,2.8,10.0
329,3.11,9.0
330,5.1,10.0
331,4.6,10.0
332,4.6,10.0
333,4.6,10.0
334,4.3,9.27
335,4.7,154.67
336,4.7,46.59
337,2.61,5.92
338,2.89,10.68
339,2.98,12.0
340,2.68,11.0
341,4.9,17.17
342,3.65,9.0
343,4.9,97.8
344,4.6,10.0
345,4.4,67.93
346,3.7,9.9
347,4.7,109.25
348,3.0,10.0
349,3.49,16.11
350,2.58,10.0
351,2.9,5.0
352,2.56,10.0
353,3.0,3.7
354,2.98,14.0
355,2.5,5.0
356,2.68,18.0
357,4.8,106.89
358,2.81,9.0
359,4.33,0.94
360,3.1,24.8
361,3.2,1.1
362,4.3,97.29
363,2.92,10.0
364,2.84,15.0
365,2.7,10.0
366,2.89,12.0
367,4.7,10.0
368,5.0,10.0
369,2.9,0.0
370,3.94,9.98
371,2.65,15.0
372,4.1,213.06
373,2.63,12.0
374,2.87,8.0
375,2.95,21.0
376,6.1,10.0
377,5.0,323.1
378,2.7,81.4
379,2.51,7.41
380,2.57,8.0
381,3.4,13.7
382,5.6,10.0
383,3.3,15.0
384,4.9,10.0
385,2.5,26.2
386,4.6,10.0
387,3.1,5.0
388,2.5,10.0
389,2.7,10.0
